accommodation_id,Sector,Property Reg Number,Account Name,Rating,Address City/Town,Address County,Eircode/Postal code,Latitude,Longitude,Owner(s) as it appears on Register,Total Units
896,13,BBL10429,Cavangarden House,4.0,Ballyshannon,4.0,F94 AK25,54.53104,-8.15527,Donna Mc Caffrey,6
897,13,BBL11246,Celtic House,4.0,Kilkenny,4.0,R95 TK85,52.65463,-7.24992,Angela Byrne,3
898,13,BBL12915,Church View B&B,4.0,Gurteen,4.0,F56 H977,53.99395,-8.5173,Jacci Conlon,4
899,13,BBL10094,Churchfield,4.0,Doolin,4.0,V95 K523,53.01989,-9.37123,Maeve Fitzgerald,6
900,13,BBL11040,Cillcearn House,4.0,Killarney,4.0,V93 W024,52.05708,-9.47238,Tom Kearney,5
901,13,BBL10663,Clai Ban,4.0,Aran Islands,4.0,H91 D8EC,53.12292,-9.67188,Marion Craven-Hernon,6
902,13,BBL10179,Clareville House,4.0,Scarriff,4.0,V94 A4X5,52.90011,-8.54075,Teresa Browne,4
903,10,SCL15476,Cliff View,4.0,Doolin,4.0,V95 D6V4,53.01373,-9.38838,Maeve Fitzgerald,1
904,13,BBL11181,Cliffords Ocean View B&B,4.0,Waterville,4.0,V23 TY48,51.82331,-10.17163,Abbie Clifford,5
905,7,WSL40375,Clissmann Horse Caravans,3.0,Rathdrum,3.0,A67 YP82,52.9743,-6.21741,Neasa Clissmann,10
906,13,BBL11209,Cloncarlin House,4.0,Monasterevin,4.0,W34 W229,53.13659,-7.02715,Marie McGuinness,3
907,7,WSL41157,Clonganny House,3.0,Ballygarrett,3.0,Y25 WV30,52.55537,-6.25749,Kevin Humphrey,4
908,13,BBL10176,Clonmore Lodge,4.0,Quilty,4.0,V95 YR4K,52.79976,-9.455,Kevin Lafferty,5
909,7,WSL41190,Clover Cabin,3.0,Gowran,3.0,R95 EH3E,52.63623,7.08231,Annette Byrne,1
910,13,BBL10696,Cnoc Breac,4.0,Cleggan,4.0,H71 FF82,53.55739,-10.12474,Mary King,2
911,10,SCL15585,Lorrha Cottages,4.0,Nenagh,4.0,E45 Y795,53.08811,-8.11341,Roland Dyer,2
