Name,Rating,Latitude,Longitude,Address,Tags
National Museum of Ireland - Archaeology,4.6,53.3402225,-6.2549209,"35A Kildare St, Dublin 2, D02 YK38, Ireland","museum, tourist_attraction, point_of_interest, establishment"
Tullynally Castle & Gardens,4.7,53.6835994,-7.327166399999999,"Tullynally Pakenham Hall, Road, Castlepollard, Co. Westmeath, N91 HV58, Ireland","tourist_attraction, park, point_of_interest, establishment"
Dalkey Castle & Heritage Centre,4.6,53.27787989999999,-6.105544,"Castle St, Dalkey, Dublin, A96 DE61, Ireland","museum, tourist_attraction, travel_agency, point_of_interest, establishment"
The Lost Valley,4.7,53.6448125,-9.879978999999999,"Silver Strand, Doovilra, Louisburgh, Co. Mayo, Ireland","tourist_attraction, point_of_interest, establishment"
Dublin City,4.8,53.34981939999999,-6.260239599999999,"North City, Dublin, Ireland","tourist_attraction, point_of_interest, establishment"
National Botanic Gardens,4.8,53.3725493,-6.271907,"Glasnevin, Dublin 9, D09 VY63, Ireland","tourist_attraction, park, point_of_interest, establishment"
Arkle Memorial Statue,4.8,53.5129581,-6.399388099999999,"Killegland, Ashbourne, Co. Meath, Ireland","tourist_attraction, point_of_interest, establishment"
National Trust - Gleno,4.6,54.799498,-5.8324109,"Waterfall Rd, Gleno, Larne BT40 3LE, United Kingdom","tourist_attraction, point_of_interest, establishment"
Farmleigh House & Estate,4.7,53.36519209999999,-6.3597857,"White's Rd, Phoenix Park, Dublin 15, D15 TD50, Ireland","tourist_attraction, point_of_interest, establishment"
Loughcrew Megalithic Centre,4.7,53.745566,-7.121534899999999,"Loughcrew, Drumsawry Or Summerbank, Oldcastle, Co. Meath, Ireland","tourist_attraction, campground, travel_agency, cafe, museum, park, lodging, store, food, point_of_interest, establishment"
World Poverty Stone,4.5,53.3479863,-6.249372399999999,"North Wall, Dublin, Ireland","tourist_attraction, point_of_interest, establishment"
Dún Laoghaire Harbour,4.7,53.2956349,-6.133322199999999,"Harbour Rd, Dún Laoghaire, Co. Dublin, Ireland","tourist_attraction, point_of_interest, establishment"
The Wishing Hand,4.1,53.35095,-6.2579064,"77 Marlborough St, North City, Dublin 1, Ireland","tourist_attraction, point_of_interest, establishment"
Four Knocks Tomb,4.6,53.5965655,-6.326491499999999,"Fourknocks, Stamullen, Co. Meath, Ireland","tourist_attraction, point_of_interest, establishment"
Giant's Causeway,4.7,55.2408073,-6.5115554,"Bushmills BT57 8SU, United Kingdom","tourist_attraction, park, point_of_interest, establishment"
Dubh Linn Garden,4.6,53.3423616,-6.266632,"Dublin Castle, Dame St, Dublin, Ireland","park, tourist_attraction, point_of_interest, establishment"
The Book of Kells Experience,4.4,53.3439056,-6.2567428,"Trinity Long Room, The University of Dublin Trinity College, College Green, South-East Inner City, Dublin, Ireland","tourist_attraction, point_of_interest, establishment"
National Museum of Ireland - Natural History,4.5,53.33988480000001,-6.253347799999999,"Merrion St Upper, Dublin 2, D02 F627, Ireland","tourist_attraction, museum, point_of_interest, establishment"
Dublin Zoo,4.6,53.3572232,-6.3071091,"Phoenix park, Saint James, Dublin, D08 AC98, Ireland","zoo, tourist_attraction, point_of_interest, establishment"
Malahide Beach,4.6,53.45131720000001,-6.1386823,"Robswalls, Co. Dublin, Ireland","tourist_attraction, point_of_interest, establishment"
Swords Round Tower,4.5,53.4576831,-6.2244591,"56 St Columba's Rise, Swords Glebe, Swords, Co. Dublin, K67 V6R7, Ireland","tourist_attraction, point_of_interest, establishment"
Muckross House,4.7,52.0180696,-9.5041358,"Muckross, Killarney, Co. Kerry, Ireland","museum, tourist_attraction, store, restaurant, food, point_of_interest, establishment"
Dublin Falconry,5,53.3769708,-6.4337759,"Kellytown rd, Woodlands, Dublin, D15 RH92, Ireland","tourist_attraction, point_of_interest, establishment"
Rock of Cashel,4.6,52.5200763,-7.890452199999999,"St. Patricksrock, Cashel, Co. Tipperary, Ireland","tourist_attraction, point_of_interest, establishment"
Blarney Castle & Gardens,4.7,51.9290922,-8.570884699999999,"Blarney, Cork, Ireland","tourist_attraction, park, point_of_interest, establishment"
Ireland's Oldest Bridge,4.7,53.5560825,-6.7910203,"Bridge St, Townparks North, Trim, Co. Meath, Ireland","tourist_attraction, point_of_interest, establishment"
Rock of Dunamase,4.8,53.0319172,-7.2107266,"Park Or Dunamase, Dunamaise, Co. Laois, Ireland","tourist_attraction, point_of_interest, establishment"
The Famine Memorial,4.7,53.3480473,-6.2500367,"Custom House Quay, North Wall, Dublin, Ireland","tourist_attraction, point_of_interest, establishment"
Ha'penny Bridge,4.5,53.3463347,-6.263102900000001,"Bachelors Walk, North City, Dublin, Ireland","tourist_attraction, point_of_interest, establishment"
Molly Malone Statue,4.4,53.3437409,-6.260972499999999,"Suffolk St, Dublin 2, D02 KX03, Ireland","tourist_attraction, point_of_interest, establishment"
Glendalough Cathedral,4.7,53.0105285,-6.3270585,"Sevenchurches Or Camaderry, Glendalough, Co. Wicklow, Ireland","tourist_attraction, church, place_of_worship, point_of_interest, establishment"
Old Dublin City Wall,4.3,53.3431041,-6.2751245,"Lamb Alley, The Liberties, Dublin, Ireland","point_of_interest, establishment"
Maiden Tower,4.5,53.7226253,-6.2515588,"4-8 St Marys, Mornington, Co. Meath, A92 K7P1, Ireland","point_of_interest, establishment"
O'Brien's Tower,4.5,52.9731764,-9.430655699999999,"Burren Way, Lislorkan North, Co. Clare, Ireland","point_of_interest, establishment"
Kylemore Abbey & Victorian Walled Garden,4.6,53.56163919999999,-9.8893126,"Pollacappul, Co. Galway, Ireland","tourist_attraction, cafe, museum, church, food, place_of_worship, point_of_interest, store, establishment"
Dublin Castle,4.3,53.34288609999999,-6.2674284,"Dame St, Dublin 2, Ireland","tourist_attraction, point_of_interest, establishment"
Kilmainham Gaol,4.7,53.34187009999999,-6.309804799999999,"Inchicore Rd, Kilmainham, Dublin 8, D08 RK28, Ireland","museum, tourist_attraction, point_of_interest, establishment"
Guinness Storehouse,4.4,53.3418088,-6.2867155,"St. James's Gate, Dublin 8, D08 VF8H, Ireland","tourist_attraction, food, point_of_interest, establishment"
The Oscar Wilde Monument,4.5,53.3408162,-6.2505294,"1 Merrion Square E, Dublin, Ireland","tourist_attraction, point_of_interest, establishment"
Waterfall Iveagh Gardens,4.6,53.3354089,-6.2618513,"2 Stable Ln, Saint Kevin's, Dublin 2, D02 WV58, Ireland","tourist_attraction, point_of_interest, establishment"
Arkle Memorial Statue,4.8,53.5129581,-6.399388099999999,"Killegland, Ashbourne, Co. Meath, Ireland","tourist_attraction, point_of_interest, establishment"
Blarney Stone,4.6,51.9290491,-8.5709865,"Blarney, Cork, T23 Y598, Ireland","tourist_attraction, point_of_interest, establishment"
Old Mellifont Abbey,4.6,53.7420012,-6.466275599999999,"Mellifont, Tullyallen Village, Co. Louth, A92 K682, Ireland","tourist_attraction, point_of_interest, establishment"
Cong Abbey,4.6,53.5402245,-9.2869092,"Abbey St, Cong South, Cong, Co. Mayo, Ireland","point_of_interest, establishment"
Newgrange,4.6,53.69471189999999,-6.4754917,"Newgrange, Donore, Co. Meath, Ireland","tourist_attraction, point_of_interest, establishment"
Kells Priory,4.7,52.53893739999999,-7.266671899999999,"Priory Grove, Kellsborough, Kells, Co. Kilkenny, R95 V184, Ireland","point_of_interest, establishment"
Wicklow Head Old Lighthouse,4.6,52.9651837,-6.002279,"Dunbur Head, Wicklow, Ireland","tourist_attraction, point_of_interest, establishment"
Malahide Castle & Gardens,4.6,53.44457670000001,-6.1655167,"Back Rd, Malahide Demesne, Malahide, Co. Dublin, Ireland","tourist_attraction, point_of_interest, establishment"
Dowth Passage Tomb,4.4,53.70383649999999,-6.4503688,"Dowth, Co. Meath, Ireland","tourist_attraction, point_of_interest, establishment"
Glencar Waterfall,4.7,54.3402088,-8.368521,"Largandoon, Glencar, Co. Leitrim, Ireland","tourist_attraction, point_of_interest, establishment"
Clare Abbey,4.5,52.82902379999999,-8.9689595,"Limerick Rd, Clareabbey, Ennis, Co. Clare, Ireland","tourist_attraction, place_of_worship, point_of_interest, establishment"
Spanish Arch,4.2,53.26972170000001,-9.0540085,"2 The Long Walk, Galway, Ireland","tourist_attraction, point_of_interest, establishment"
Black Castle,4.6,52.9811225,-6.030844999999999,"S Quay, Corporation Lands, Co. Wicklow, Ireland","tourist_attraction, point_of_interest, establishment"
